,filename,img_path,mask_path
0,nr_001_img_000000025_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_001_img_000000025_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_001_img_000000025_c0.png
1,nr_002_img_000000025_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_002_img_000000025_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_002_img_000000025_c0.png
2,nr_003_img_000000025_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_003_img_000000025_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_003_img_000000025_c0.png
3,nr_004_img_000000025_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_004_img_000000025_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_004_img_000000025_c0.png
4,nr_005_img_000000025_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_005_img_000000025_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_005_img_000000025_c0.png
5,nr_006_img_000000000_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_006_img_000000000_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_006_img_000000000_c0.png
6,nr_007_img_000000001_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_007_img_000000001_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_007_img_000000001_c0.png
7,nr_008_img_000000001_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_008_img_000000001_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_008_img_000000001_c0.png
8,nr_009_img_000000001_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_009_img_000000001_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_009_img_000000001_c0.png
9,nr_010_img_000000001_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_010_img_000000001_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_010_img_000000001_c0.png
10,nr_011_img_000000002_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_011_img_000000002_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_011_img_000000002_c0.png
11,nr_012_img_000000002_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_012_img_000000002_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_012_img_000000002_c0.png
12,nr_013_img_000000002_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_013_img_000000002_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_013_img_000000002_c0.png
13,nr_014_img_000000002_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_014_img_000000002_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_014_img_000000002_c0.png
14,nr_015_img_000000003_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_015_img_000000003_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_015_img_000000003_c0.png
15,nr_016_img_000000004_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_016_img_000000004_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_016_img_000000004_c0.png
16,nr_017_img_000000005_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_017_img_000000005_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_017_img_000000005_c0.png
17,nr_018_img_000000006_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_018_img_000000006_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_018_img_000000006_c0.png
18,nr_019_img_000000007_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_images\nr_019_img_000000007_c0.png,F:\PedCut2013_SegmentationDataset\data\completeData\left_groundTruth\nr_019_img_000000007_c0.png
